opening[mm];wire dia[mm] std;wire dia[mm] stn;fi_std
1.5;1, 1.2;1, 1.2;1.2
1.6;1.2;1.2;1.2
1.8;1.2, 1.5;1.2, 1.5;1.2
1.9;1.4;1.4;0
2;1.2, 1.5;1.2, 1.5;1.5
2.1;1.4;1.4;0
2.2;1.2;1.2;1.2
2.3;1.2, 1.3, 1.5;1.2, 1.3, 1.5;1.5
2.5;1, 1.2, 1.5;1, 1.2, 1.5;1.5
2.6;1.5;1.5;1.5
2.7;1.2, 1.3;1.2, 1.3;1.2
2.8;1.2, 1.5;1.2, 1.5;1.4
3;1, 1.2, 1.3, 1.4, 1.5;1, 1.2, 1.3, 1.4, 1.5;1.5
3.1;1.5;1.5;1.5
3.2;1.2;1.2;1.2
3.3;1.2, 1.5;1.2, 1.5;1.2
3.4;1.2;1.2;1.2
3.5;1.5, 2;1.5, 2;1.5
3.6;1.4, 1.8;1.4, 1.8;1.8
3.7;1.5;1.5;1.5
3.8;1.2, 1.5, 1.8, 2;1.2, 1.5, 1.8, 2;1.5
4;1.5, 1.8, 2;1.5, 1.8, 2;1.8
4.5;1.5, 2;1.5, 2;2
4.7;1.8;1.8;1.8
4.8;2;2;1.8
5;1.5, 2, 2.5;1.5, 2, 2.5;2
5.2;1.8;1.8;1.8
5.5;2, 2.5;2, 2.5;2.5
5.8;1.5;1.5;1.5
6;1.5, 2, 2.5, 3;1.5, 2, 2.5, 3;2.5
6.3;3;3;3
6.5;2, 2.5, 3;2, 2.5, 3;2.5
6.7;1.8;1.8;1.8
7;2, 2.5, 3;2, 2.5, 3;3
7.5;2.5, 3;2.5, 3;3
8;1.5, 1.8, 2, 2.5, 3, 3.5;1.5, 1.8, 2, 2.5, 3, 3.5;3
8.5;3;3;3
9;2.5, 3, 3.5, 4;2.5, 3, 3.5, 4;3
9.5;2.5, 3, 3.5;2.5, 3, 3.5;3.5
10;1.2, 1.5, 1.8, 2, 2.5, 3, 4;1.2, 1.5, 1.8, 2, 2.5, 3, 4;4
10.5;3.5;3.5;3.5
11;3, 4;3, 4;4
11.5;2.5, 3.5, 4;2.5, 3.5, 4;4
11.9;2;2;0
12;3, 4;3, 4;4
12.5;3, 3.5, 4;3, 3.5, 4;4
13;4, 5;4, 5;4
13.5;4, 4.5;4, 4.5;4
14;4, 4.5, 5, 5.5;4, 4.5, 5, 5.5;4
14.3;2.5;2.5;2.5
14.5;4, 5, 6;4, 5, 6;4.5
15;2, 3, 4, 4.5;2, 3, 4, 4.5;4.5
15.5;4, 4.5, 5;4, 4.5, 5;5
16;2, 4, 5;2, 4, 5;5
16.5;4, 4.5;4, 4.5;4.5
17;5, 6;5, 6;5
17.5;4.5;4.5;5
18;4, 4.5, 5, 5.5, 6;4, 4.5, 5, 5.5, 6;5
18.5;4.5;4.5;4.5
19;4, 4.5, 5;4, 4.5, 5;5
19.5;5;5;5
20;2, 4, 5, 5.5, 6, 8;2, 4, 5, 5.5, 6;5.5
20.5;5, 6;5, 6;5
21;4, 5, 5.5, 6;4, 5, 5.5, 6;5.5
21.5;5, 5.5;5, 5.5;5
22;5, 5.5, 6;5, 5.5, 6;5.5
23;3, 5.5;3, 5.5;5.5
23.5;5.5;5.5;5.5
24;5, 5.5, 6, 7;5, 5.5, 6;5.5
24.5;2;2;0
25;3, 4, 4.5, 5, 5.5, 6, 8;3, 4, 4.5, 5, 5.5, 6;6
26;5.5, 6, 7;5.5, 6;6
26.5;2;2;0
27;5, 6;5, 6;6
27.5;4, 4.5;4, 4.5;4.5
28;6, 6.5;6;6.5
28.5;7;;0
29;6;6;6
30;4, 5.5, 6, 6.5, 7, 9;4, 5.5, 6;6.5
30.5;4;4;0
31;6.5, 9;;6.5
32;5, 5.5, 6.5, 7, 8;5, 5.5;6.5
33;6.5, 8;;6.5
33.5;8, 9, 10;;8
34;7;;6.5
34.5;6.5;;6.5
35;5.5, 6, 7, 8, 10;5.5, 6;7
36;7;;7
37;7, 8;;7
38;8;;8
40;3, 4, 5, 6, 7, 8, 9, 10;3, 4, 5, 6;8
42;8, 10;;8
44;9;;9
45;5.5, 8, 9, 10;5.5;9
47;8, 9;;8
48;8;;8
49;10;;10
50;5, 6, 8, 9, 10, 12;5, 6;9
52;10;;10
53;9, 10;;9
55;8, 9, 10, 12;;9
56;9;;9
57;8, 9, 10, 12;;9
58;9, 10;;10
60;8, 9, 10, 12;;10
63;7, 9, 10, 12;;10
65;9, 10, 12;;10
67;9;;9
68;10, 12;;10
70;8, 10, 12;;10
73;10;;0
74;12;;0
75;10, 12;;10
80;8, 9, 10, 12;;10
82;12;;0
83;8;;0
85;10;;10
87;12;;0
90;10, 12;;10
95;12;;0
100;10, 12;;12
103;10;;10
110;10, 12;;12
116;10;;0
117;10;;0
120;12;;12
132;12;;12
140;12;;12
150;12;;12
165;12;;0
180;12;;0
190;12;;0